Wall time,Step,Value
1743390368.8660197,5000,0.0
1743391180.8891377,10000,0.0
1743391995.4254985,15000,0.10000000149011612
1743392798.7140715,20000,0.0
1743393628.7778075,25000,0.0
1743394437.4742837,30000,0.0
1743395248.684087,35000,0.0
1743396077.7366402,40000,0.0
1743396877.4657185,45000,0.0
1743397691.3340514,50000,0.0
1743398546.7732337,55000,0.0
1743399359.179556,60000,0.20000000298023224
1743400170.4728153,65000,0.0
1743400978.163506,70000,0.0
1743401793.539663,75000,0.0
1743402614.9092815,80000,0.0
1743403429.4962556,85000,0.0
1743404274.8397489,90000,0.0
1743405156.7668824,95000,0.10000000149011612
1743406012.0699027,100000,0.0
1743406864.342121,105000,0.0
1743407693.544685,110000,0.0
1743408528.194741,115000,0.6000000238418579
1743409336.6215963,120000,0.20000000298023224
1743410145.0554876,125000,0.0
1743410951.9854693,130000,0.0
1743411768.2140708,135000,0.10000000149011612
1743412586.1547654,140000,0.0
1743413388.9137967,145000,0.0
1743414205.8351033,150000,0.10000000149011612
1743415022.2455966,155000,0.0
1743415830.1834633,160000,0.0
1743416643.8857517,165000,0.0
1743417459.8702664,170000,0.10000000149011612
1743418276.0449848,175000,0.0
1743419071.1445832,180000,0.0
1743419888.0426905,185000,0.0
1743420705.4149709,190000,0.0
1743421523.217436,195000,0.0
1743422339.745175,200000,0.0
1743423165.6468441,205000,0.0
1743423985.7786033,210000,0.0
1743424802.7268233,215000,0.0
1743425611.3945587,220000,0.0
1743426438.3770678,225000,0.0
1743427255.8424737,230000,0.0
1743428069.3955863,235000,0.10000000149011612
1743428886.8856263,240000,0.0
1743429707.4270875,245000,0.0
1743430526.6610327,250000,0.4000000059604645
1743431353.574733,255000,0.0
1743432174.8780468,260000,0.20000000298023224
1743433005.342438,265000,0.0
1743433832.8746006,270000,0.0
1743434649.294112,275000,0.30000001192092896
1743435472.206086,280000,0.0
1743436292.3511062,285000,0.0
1743437118.1103623,290000,0.20000000298023224
1743437951.9558392,295000,0.0
1743438772.507205,300000,0.0
1743439613.1135356,305000,0.10000000149011612
1743440434.4918282,310000,0.0
1743441265.8650372,315000,0.0
1743442095.9464524,320000,0.0
1743442929.448469,325000,0.0
1743443762.3540287,330000,0.30000001192092896
1743444597.769171,335000,0.0
1743445419.3642619,340000,0.30000001192092896
1743446243.291865,345000,0.0
1743447085.934506,350000,0.0
1743447926.121606,355000,0.0
1743448751.4812565,360000,0.0
1743449592.7827506,365000,0.0
1743450425.648906,370000,0.0
1743451250.3418937,375000,0.20000000298023224
1743452078.768185,380000,0.0
1743452914.317214,385000,0.20000000298023224
1743453752.9223642,390000,0.30000001192092896
1743454574.8530579,395000,0.0
1743455408.3112657,400000,0.0
1743456242.5436268,405000,0.0
1743457069.6073194,410000,0.10000000149011612
1743457907.0787742,415000,0.0
1743458755.725488,420000,0.0
1743459585.4834397,425000,0.0
1743460413.4488587,430000,0.0
1743461249.718623,435000,0.10000000149011612
1743462084.9520202,440000,0.0
1743462924.8713572,445000,0.20000000298023224
1743463752.6369967,450000,0.20000000298023224
1743464590.499256,455000,0.4000000059604645
1743465428.6313956,460000,0.10000000149011612
1743466263.5253274,465000,0.0
1743467169.445475,470000,0.0
1743468118.491837,475000,0.0
